EOI_Code,Municipality,same_as_wikidata_municipality,Station_Name,Pollutant_Code,Pollutant_Name,same_as_wikidata_pollutant_name,Units,Station_Type,Station_Environment,same_as_wikidata_station_environment,INE_Code,Date,Values,Latitude,Longitude
8019044,Barcelona,https://wikidata.org/entity/Q1492,Gràcia - Sant Gervasi,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Traffic,urban_area,https://wikidata.org/entity/Q702492,8019,2021-02-23,0.4,41.39869879,2.15346989
8019044,Barcelona,https://wikidata.org/entity/Q1492,Gràcia - Sant Gervasi,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Traffic,urban_area,https://wikidata.org/entity/Q702492,8019,2021-02-25,0.4,41.39869879,2.15346989
8019044,Barcelona,https://wikidata.org/entity/Q1492,Gràcia - Sant Gervasi,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Traffic,urban_area,https://wikidata.org/entity/Q702492,8019,2021-02-28,0.4,41.39869879,2.15346989
43148022,Tarragona,https://wikidata.org/entity/Q15088,Universitat Laboral,30,benzene,https://wikidata.org/entity/Q2270,µg/m3,Industrial,periphery,https://wikidata.org/entity/Q10950926,43148,2021-02-02,3.17,41.10360261,1.20076026
43148022,Tarragona,https://wikidata.org/entity/Q15088,Universitat Laboral,30,benzene,https://wikidata.org/entity/Q2270,µg/m3,Industrial,periphery,https://wikidata.org/entity/Q10950926,43148,2021-05-02,0.96,41.10360261,1.20076026
43148022,Tarragona,https://wikidata.org/entity/Q15088,Universitat Laboral,30,benzene,https://wikidata.org/entity/Q2270,µg/m3,Industrial,periphery,https://wikidata.org/entity/Q10950926,43148,2021-10-02,0.99,41.10360261,1.20076026
43148022,Tarragona,https://wikidata.org/entity/Q15088,Universitat Laboral,30,benzene,https://wikidata.org/entity/Q2270,µg/m3,Industrial,periphery,https://wikidata.org/entity/Q10950926,43148,2021-02-16,0.76,41.10360261,1.20076026
43148022,Tarragona,https://wikidata.org/entity/Q15088,Universitat Laboral,30,benzene,https://wikidata.org/entity/Q2270,µg/m3,Industrial,periphery,https://wikidata.org/entity/Q10950926,43148,2021-02-22,1.36,41.10360261,1.20076026
43148022,Tarragona,https://wikidata.org/entity/Q15088,Universitat Laboral,30,benzene,https://wikidata.org/entity/Q2270,µg/m3,Industrial,periphery,https://wikidata.org/entity/Q10950926,43148,2021-02-26,1.39,41.10360261,1.20076026
43095999,El Morell,https://wikidata.org/entity/Q545317,Deixalleria municipal,30,benzene,https://wikidata.org/entity/Q2270,µg/m3,Industrial,rural_area,https://wikidata.org/entity/Q175185,43095,2021-01-02,0.68,41.19069793,1.21352977
43095999,El Morell,https://wikidata.org/entity/Q545317,Deixalleria municipal,30,benzene,https://wikidata.org/entity/Q2270,µg/m3,Industrial,rural_area,https://wikidata.org/entity/Q175185,43095,2021-03-02,0.05,41.19069793,1.21352977
43095999,El Morell,https://wikidata.org/entity/Q545317,Deixalleria municipal,30,benzene,https://wikidata.org/entity/Q2270,µg/m3,Industrial,rural_area,https://wikidata.org/entity/Q175185,43095,2021-05-02,1.69,41.19069793,1.21352977
43095999,El Morell,https://wikidata.org/entity/Q545317,Deixalleria municipal,30,benzene,https://wikidata.org/entity/Q2270,µg/m3,Industrial,rural_area,https://wikidata.org/entity/Q175185,43095,2021-09-02,1.07,41.19069793,1.21352977
43095999,El Morell,https://wikidata.org/entity/Q545317,Deixalleria municipal,30,benzene,https://wikidata.org/entity/Q2270,µg/m3,Industrial,rural_area,https://wikidata.org/entity/Q175185,43095,2021-11-02,1.69,41.19069793,1.21352977
43095999,El Morell,https://wikidata.org/entity/Q545317,Deixalleria municipal,30,benzene,https://wikidata.org/entity/Q2270,µg/m3,Industrial,rural_area,https://wikidata.org/entity/Q175185,43095,2021-02-14,2.24,41.19069793,1.21352977
43095999,El Morell,https://wikidata.org/entity/Q545317,Deixalleria municipal,30,benzene,https://wikidata.org/entity/Q2270,µg/m3,Industrial,rural_area,https://wikidata.org/entity/Q175185,43095,2021-02-15,1.2,41.19069793,1.21352977
43095999,El Morell,https://wikidata.org/entity/Q545317,Deixalleria municipal,30,benzene,https://wikidata.org/entity/Q2270,µg/m3,Industrial,rural_area,https://wikidata.org/entity/Q175185,43095,2021-02-16,0.24,41.19069793,1.21352977
43095999,El Morell,https://wikidata.org/entity/Q545317,Deixalleria municipal,30,benzene,https://wikidata.org/entity/Q2270,µg/m3,Industrial,rural_area,https://wikidata.org/entity/Q175185,43095,2021-02-17,0.83,41.19069793,1.21352977
43095999,El Morell,https://wikidata.org/entity/Q545317,Deixalleria municipal,30,benzene,https://wikidata.org/entity/Q2270,µg/m3,Industrial,rural_area,https://wikidata.org/entity/Q175185,43095,2021-02-22,0.73,41.19069793,1.21352977
43095999,El Morell,https://wikidata.org/entity/Q545317,Deixalleria municipal,30,benzene,https://wikidata.org/entity/Q2270,µg/m3,Industrial,rural_area,https://wikidata.org/entity/Q175185,43095,2021-02-25,0.65,41.19069793,1.21352977
43095999,El Morell,https://wikidata.org/entity/Q545317,Deixalleria municipal,30,benzene,https://wikidata.org/entity/Q2270,µg/m3,Industrial,rural_area,https://wikidata.org/entity/Q175185,43095,2021-02-28,1.05,41.19069793,1.21352977
8054001,Castellbisbal,https://wikidata.org/entity/Q13921,CEIP Mare de Déu de Montserrat,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Background,periphery,https://wikidata.org/entity/Q10950926,8054,2021-04-02,0.2,41.47330363,1.98200998
8054001,Castellbisbal,https://wikidata.org/entity/Q13921,CEIP Mare de Déu de Montserrat,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Background,periphery,https://wikidata.org/entity/Q10950926,8054,2021-08-02,0.11,41.47330363,1.98200998
8054001,Castellbisbal,https://wikidata.org/entity/Q13921,CEIP Mare de Déu de Montserrat,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Background,periphery,https://wikidata.org/entity/Q10950926,8054,2021-02-16,0.11,41.47330363,1.98200998
8054001,Castellbisbal,https://wikidata.org/entity/Q13921,CEIP Mare de Déu de Montserrat,28,cadmium,https://wikidata.org/entity/Q1091,ng/m3,Background,periphery,https://wikidata.org/entity/Q10950926,8054,2021-02-24,0.11,41.47330363,1.98200998
